"V1" "V2" "V3" "v4" "V5" "V6"
13.26 3.33 43 1917 211 646
16.22 4.02 41 1636 328 890
15.87 4.16 39 2062 302 896
13.24 3.42 26 3145 320 1066
16.11 2.43 31 2317 407 1142
13.51 2.37 27 2678 328 1065
13.62 4.84 42 1813 248 713
15.23 4.66 41 1920 241 794
17.23 4.04 39 2014 317 936
15.67 3.97 46 1724 246 729
12.93 3.02 23 2786 393 1181
16.8 3.64 39 2197 314 905
14.84 4.98 35 2126 292 880
13.5 3.96 32 2522 329 882
19.59 2.7 51 3058 307 799
13.17 3.95 45 1588 240 614
18.53 4.45 55 1299 256 701
15.44 4.17 44 1735 277 729
13.28 3.99 44 1788 220 627
20.52 6.86 58 1264 285 764
21.31 6.55 55 2740 263 775
18.72 7.24 38 2034 342 1130
20.69 6.92 45 1771 295 959
15.93 9.14 49 1347 247 746
14.4 5.55 29 2696 311 1036
17.77 7.66 46 1503 291 889
21.51 6.77 55 1121 257 835
14.82 7.91 42 1850 254 813
20.65 7.51 51 1427 276 867
18.54 7.21 56 1362 250 753
20.35 6.57 47 1722 288 927
15.45 7.94 40 2035 297 928
23 6.34 59 1205 253 844
20.12 7.14 58 2612 234 750
21.91 7.08 62 1043 242 752
17.2 8.79 49 1594 272 817
17.93 6 44 1860 279 867
18.59 7.71 43 1621 313 1007
22.4 6.8 51 1258 300 936
19.71 7.03 47 1680 271 940
21.62 5.45 57 1276 264 806
13.68 8.98 37 1865 268 824
20.67 6.52 44 1605 311 998
20.2 7.47 56 1382 269 820
23.89 6.5 67 1151 258 758
17.53 7.48 57 1227 239 702
19.39 6.07 52 1345 271 793
21.19 7.91 62 1157 263 779
21.33 7.11 53 1387 271 855
17.28 6.72 53 1412 270 751
18.86 6.88 50 1496 258 806
16.94 6.51 46 3343 280 796
19.2 6.21 60 1205 251 710
16.89 8.54 47 1598 285 783
21.09 7.73 48 3235 275 918
18.34 5.89 54 1272 269 756
18.21 5.63 48 1517 238 823
21.51 8.5 52 1378 299 868
21.87 6.78 63 1064 253 754
18.18 5.35 52 1355 269 731
21.31 7.03 65 1001 257 685
22.26 8.05 65 1229 246 715
18.78 5.53 48 1484 275 818
18.05 7.67 47 1476 293 798
21.76 7.2 55 1328 281 823
21.22 6.88 60 1159 277 733
20.09 5.8 50 1511 291 834
17.86 7.54 52 1411 262 711
15.88 6.17 21 3831 454 1597
17.43 5.96 31 2274 342 1202
13.91 8.35 26 2843 313 1247
15.95 7.77 30 2888 330 1138
15.66 6.03 20 3912 447 1792
17.98 6.98 31 2518 344 1264
11.68 8.19 20 3909 349 1374
18.62 7.62 28 5404 384 2219
15.63 7.61 26 2991 385 1414
18.26 6.85 23 3412 451 1694
12.91 7.64 28 2676 325 1078
18.72 7.93 21 3949 479 1903
15.06 8.4 27 3122 353 1300
16.63 5.31 35 1971 282 1014
15.94 8.37 33 2344 299 1127
17.3 5.65 33 2620 276 1114
11.88 8.28 12 6295 548 2304
16.22 7.45 35 1946 277 985
19.05 7.64 37 1988 313 1199
18.49 7.66 24 3065 470 1637
15.13 6.27 30 2578 306 1226
20.67 5.53 38 2049 315 1188
15.68 8.07 40 1834 259 904
17.7 5.44 24 3012 468 1587
17.03 8.26 36 2092 313 1093
16.04 6.31 30 2538 346 1154
15.26 6.15 38 2078 269 930
18.65 8.34 26 3005 410 1535
17 5.02 36 2063 318 1091
15.37 5.14 27 2647 334 1219
15.11 7.18 40 2058 275 874
17.8 5.94 28 2681 405 1367
16.24 8.04 42 1519 266 867
18.64 7.52 21 3620 538 1912
19.98 5.59 45 1675 299 989
17.12 7.92 21 4177 568 1948
17.77 8.23 44 1887 255 898
18.69 5.56 35 4603 314 1061
13.21 2.85 22 2894 339 1263
18.52 8.21 41 2161 273 953
15.62 5.55 22 3679 424 1641
19.18 6.11 30 4930 343 1242
16.93 8.14 25 3367 395 1428
17.66 7.07 34 2040 330 1097
17.03 7.54 35 2330 289 1027
17.46 6.25 30 2392 354 1230
16.67 8.14 37 2316 293 951
14.9 8.08 28 2391 330 1126
12.35 11.63 22 3005 526 1206
13.21 10.74 19 4020 717 1475
11.52 12.37 16 4804 684 1670
14.32 13.91 20 3732 579 1517
13.8 10.91 21 3429 636 1528
12.43 10.08 27 2847 529 977
14.09 12.65 27 2491 507 1207
14.66 12.69 22 3079 518 1421
11.91 10.76 24 3387 508 1149
16.34 11.85 23 2997 564 1516
11.42 12.24 30 2256 365 873
15.64 10.77 24 3490 540 1389
14.75 11.66 35 2059 393 965
14.66 11.51 22 3180 511 1421
14.69 10.76 30 2250 523 1122
13.64 12.2 20 4176 526 1462
14.93 13.27 21 3654 635 1630
10.94 11.62 22 3284 465 1070
15.28 11.54 21 3549 624 1669
14 9.52 34 2111 409 886
12.41 11.13 17 4652 628 1656
14.46 12.63 22 3183 618 1411
13.39 12.8 18 4400 660 1712
13.46 10.58 17 4496 723 1701
11.56 12.3 22 6840 500 1168
13.11 9.96 25 2899 473 1127
12.48 12.09 18 4293 646 1569
14.33 10.64 24 3060 540 1272
13.25 11.18 18 4140 735 1664
12.92 10.62 26 2767 424 1057
12.06 12.03 15 4824 843 1819
15.08 10.83 29 2750 506 1116
12.63 12.81 23 3128 589 1219
13.89 9.9 26 2552 529 1148
13.5 11 27 3000 560 1140
15.79 10.97 31 2553 598 1189
15.24 12.62 16 9660 817 2067
14.34 8.32 31 4777 430 925
12.6 12.41 21 3260 597 1271
14.11 11.98 25 3084 550 1228
13.11 11.29 22 3363 583 1260
11.09 12.63 25 3108 446 941
14.05 12.43 32 2175 436 928
12.84 11.72 32 2259 414 844
14.19 12.04 27 2616 515 1110
14.6 12.11 31 2485 449 995
13.95 11.72 24 3105 529 1243
13.54 11.59 22 3180 581 1314
14.74 13.2 24 3360 606 1313
24.17 7.6 19 4696 742 2637
15.02 9.54 7 9780 1161 4475
20.79 7.75 8 10822 1475 5414
20.11 9.77 14 4474 910 2998
15.08 7.02 10 9546 815 3222
19.44 12.56 13 6401 912 3440
18.92 7.72 12 6325 901 3373
15.03 11.73 10 7440 930 3413
23.55 8.6 17 3988 744 2962
12.62 11.36 7 10688 1078 4082
19.62 9.21 11 5553 991 3814
18.62 12.34 11 8291 999 3830
19.52 7.71 10 7920 1049 4150
11.23 10.76 8 7972 795 3274
18.34 7.51 20 4623 565 2047
15.3 9.95 11 6016 851 3235
24.27 7.73 17 9272 883 3075
18.25 11.61 14 6428 796 2930
19.45 9.09 12 13185 953 3224
15.98 11.13 9 10087 1164 4679
15.05 8.68 16 3626 489 1998
19.72 11.8 10 16194 884 3827
26.42 9.2 17 4934 1006 3304
16.54 7.96 11 7091 854 3427
14.95 6.83 10 8010 831 3181
16.48 10.85 7 9403 1360 5367
18.95 10.26 10 6750 1162 4024
17.18 10.31 14 5996 748 2799
13.84 9.45 7 7963 1237 4295
20.99 7.39 9 10460 1263 5070
18.7 8.49 13 6161 858 3166
14.55 9.9 7 8323 1220 4345
19.4 9.07 10 9288 1064 4051
12.7 9.05 5 12468 1420 5312
15.4 7.48 11 8956 924 3411
23.02 8.03 17 8513 756 2511
17.02 10.06 12 7535 1013 3668
21.94 9.23 10 14256 1024 3694
13.46 7.36 7 11494 965 3982
22.78 9.24 20 3696 662 2359
17.11 7.49 15 4488 659 2361
12.67 2.44 14 5811 494 1910
